Geneid,SingleDST_18,SingleDST_20,SingleDST_22,Listeria_58,Listeria_61,Listeria_62,Listeria_66,Naive_11,Naive_16,Naive_38,Naive_56,Naive_82,Naive_85,Tolerant_34,Tolerant_36,Tolerant_68,Tolerant_70,Tolerant_72
ENSMUSG00000102628,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,75
ENSMUSG00000100595,4,7,2,4,7,2,2,1,2,1,0,4,5,7,7,0,5,4
ENSMUSG00000097426,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000104478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,1,2,4,5,0,0,0,0,1,0,0,2,3,1,4,2,2
ENSMUSG00000086053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,65,37,80,26,36,29,23,73,55,67,24,38,71,47,61,70,46,75
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101097,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000100764,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14
ENSMUSG00000102095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0
ENSMUSG00000100831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100025,41,17,14,32,63,19,20,23,46,23,6,64,15,13,7,36,37,18
ENSMUSG00000051285,1716,2367,1358,2215,1407,1689,1600,1657,2734,1963,2612,2340,2563,3356,3878,1798,2045,2423
ENSMUSG00000098201,31,32,20,11,23,10,20,55,25,37,13,13,35,29,55,25,31,29
ENSMUSG00000103509,0,6,0,0,26,97,0,45,0,3,0,47,1,2,1,6,1,44
ENSMUSG00000048538,6,2,0,2,0,2,0,1,27,2,0,4,4,4,0,2,0,2
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,6,58,5,0,29,112,49,53,16,28,31,1,14,6,57,1,36,124
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
